num,num_classes,num_clients,coupling_factor
1,10,12,0.13333333333333333
2,9,9,0.125
3,8,10,0.17857142857142858
4,9,14,0.19444444444444445
5,8,8,0.14285714285714285
6,8,9,0.16071428571428573
7,5,4,0.2
8,6,6,0.2
9,9,10,0.1388888888888889
10,7,8,0.19047619047619047
11,10,11,0.12222222222222222
12,8,9,0.16071428571428573
13,8,9,0.16071428571428573
14,10,11,0.12222222222222222
15,10,10,0.1111111111111111
16,9,12,0.16666666666666666
17,7,7,0.16666666666666666
18,10,11,0.12222222222222222
19,7,8,0.19047619047619047
20,10,10,0.1111111111111111
21,4,3,0.25
22,7,7,0.16666666666666666
23,3,2,0.3333333333333333
24,9,12,0.16666666666666666
25,10,12,0.13333333333333333
26,10,14,0.15555555555555556
27,10,11,0.12222222222222222
28,10,17,0.18888888888888888
29,9,11,0.1527777777777778
30,10,11,0.12222222222222222
