num,num_classes,num_clients,coupling_factor
1,10,9,0.1
2,2,1,0.5
3,3,2,0.3333333333333333
4,5,4,0.2
5,4,3,0.25
6,8,7,0.125
7,9,8,0.1111111111111111
8,8,7,0.125
9,9,8,0.1111111111111111
10,7,6,0.14285714285714285
11,5,4,0.2
12,10,9,0.1
13,6,5,0.16666666666666666
14,9,8,0.1111111111111111
15,8,7,0.125
16,6,5,0.16666666666666666
17,6,5,0.16666666666666666
18,10,9,0.1
19,10,9,0.1
20,7,6,0.14285714285714285
21,9,8,0.1111111111111111
22,9,8,0.1111111111111111
23,8,7,0.125
24,8,7,0.125
25,4,3,0.25
26,7,6,0.14285714285714285
27,8,7,0.125
28,10,9,0.1
29,8,7,0.125
30,10,9,0.1
