num,num_classes,num_clients,coupling_factor
1,9,13,0.18055555555555555
2,3,2,0.3333333333333333
3,9,12,0.16666666666666666
4,6,5,0.16666666666666666
5,5,4,0.2
6,9,12,0.16666666666666666
7,9,11,0.1527777777777778
8,8,8,0.14285714285714285
9,8,9,0.16071428571428573
10,10,14,0.15555555555555556
11,9,10,0.1388888888888889
12,8,9,0.16071428571428573
13,8,8,0.14285714285714285
14,7,10,0.23809523809523808
15,6,6,0.2
16,2,1,0.5
17,5,4,0.2
18,7,8,0.19047619047619047
19,9,9,0.125
20,10,12,0.13333333333333333
21,5,4,0.2
22,8,10,0.17857142857142858
23,10,13,0.14444444444444443
24,9,10,0.1388888888888889
25,10,14,0.15555555555555556
26,7,9,0.21428571428571427
27,10,14,0.15555555555555556
28,10,14,0.15555555555555556
29,7,9,0.21428571428571427
30,10,16,0.17777777777777778
