num,num_classes,num_clients,coupling_factor
1,4,5,0.4166666666666667
2,10,53,0.5888888888888889
3,6,17,0.5666666666666667
4,8,25,0.44642857142857145
5,8,25,0.44642857142857145
6,8,21,0.375
7,4,10,0.8333333333333334
8,9,33,0.4583333333333333
9,2,2,1.0
10,5,8,0.4
11,5,9,0.45
12,10,45,0.5
13,6,17,0.5666666666666667
14,4,6,0.5
15,10,49,0.5444444444444444
16,7,19,0.4523809523809524
17,7,21,0.5
18,3,3,0.5
19,5,13,0.65
20,8,30,0.5357142857142857
21,10,46,0.5111111111111111
22,2,1,0.5
23,3,2,0.3333333333333333
24,4,7,0.5833333333333334
25,7,21,0.5
26,5,7,0.35
27,6,16,0.5333333333333333
28,4,7,0.5833333333333334
29,5,13,0.65
30,9,36,0.5
